X,Y,OBJECTID,ID,Letter,Address,City,State,Zip,Phone,Lat,Long_,Restaurant
-149.895,61.1952000000001,7436,7436,c,650 W Northern Lights Blvd,Anchorage,AK,99503-3804,(907) 276-2275,61.1952,-149.895,Carl's Jr.
-149.841,61.1373,7437,7437,c,2242 Abbott Road,Anchorage,AK,99507,(907) 336-3381,61.1373,-149.841,Carl's Jr.
-149.861,61.1087000000001,7438,7438,c,1137 Huffman Rd,Anchorage,AK,99515-3521,(907) 522-7555,61.1087,-149.861,Carl's Jr.
-151.238,60.5589000000001,7439,7439,c,10640 Kenai Spur Highway,Kenai,AK,99611-7813,(907) 283-3538,60.5589,-151.238,Carl's Jr.
-149.406,61.5788000000001,7440,7440,c,1741 E. Palmer Wasilla Hwy,Wasilla,AK,99654,(907) 376-4360,61.5788,-149.406,Carl's Jr.
-114.566,35.1674,7441,7441,c,640 N. Hwy 95,Bullhead City,AZ,86429,(928) 754-1150,35.1674,-114.566,Carl's Jr.
-114.351,34.9844000000001,7442,7442,c,2195 Highway #95,Bullhead City,AZ,86442,(928) 763-9500,34.9844,-114.351,Carl's Jr.
-111.714,32.8795,7443,7443,c,1715 E Florence Blvd,Casa Grande,AZ,85222-4763,(520) 421-9793,32.8795,-111.714,Carl's Jr.
-111.859,33.3337000000001,7444,7444,c,1972 N Alma School Rd,Chandler,AZ,85224,(480) 963-2593,33.3337,-111.859,Carl's Jr.
-111.62,32.7811,7445,7445,c,3090 N Toltec Rd,Eloy,AZ,85231,(520) 466-9385,32.7811,-111.62,Carl's Jr.
-111.661,35.1870000000001,7446,7446,c,1400 S Milton,Flagstaff,AZ,86001,(928) 779-2464,35.187,-111.661,Carl's Jr.
-111.79,33.3631,7447,7447,c,748 N Gilbert Rd,Gilbert,AZ,85234-4723,(480) 813-1890,33.3631,-111.79,Carl's Jr.
-111.79,33.3065,7448,7448,c,129 E Williams Field Rd,Gilbert,AZ,85296-5213,(480) 722-1259,33.3065,-111.79,Carl's Jr.
-112.184,33.553,7449,7449,c,5775 W Northern Ave,Glendale,AZ,85301-1334,(623) 915-7586,33.553,-112.184,Carl's Jr.
-112.169,33.6106,7450,7450,c,5105 W Thunderbird Rd,Glendale,AZ,85306-4841,(602) 978-5020,33.6106,-112.169,Carl's Jr.
