,X,Y,OBJECTID,ID,Letter,Address,City,State,Zip,Phone,Lat,Long_,Restaurant
85,-93.3152,44.8837,86,86,b,2800 West 66th Street,Richfield,MN,55423,(612) 869-1008,44.8837,-93.3152,Burger King
96,-93.2781,44.9423,97,97,b,3342 Nicollet Avenue South,Minneapolis,MN,55408,(612) 824-9828,44.9423,-93.2781,Burger King
128,-93.28,44.8265,129,129,b,100 West 98th Street,Bloomington,MN,55420,(952) 888-0616,44.8265,-93.28,Burger King
158,-93.065,44.9776,159,159,b,"841 Maryland Avenue, East",St. Paul,MN,55106,(651) 771-9666,44.9776,-93.065,Burger King
416,-93.3935,45.1998,417,417,b,123 West Main Street,Anoka,MN,55303,(763) 427-2830,45.1998,-93.3935,Burger King
419,-94.1977,45.5532,420,420,b,3310 Division Road,St. Cloud,MN,56301,(320) 253-4140,45.5532,-94.1977,Burger King
423,-93.1666,45.0056,424,424,b,2151 North Snelling Ave.,Roseville,MN,55113,(651) 636-7972,45.0056,-93.1666,Burger King
437,-93.365,44.972,438,438,b,6660 Wayzata Blvd.,Golden Valley,MN,55426,(763) 546-2162,44.972,-93.365,Burger King
444,-93.2472,45.0051,445,445,b,"1717 Central Avenue, N. E.",Minneapolis,MN,55413,(612) 788-3838,45.0051,-93.2472,Burger King
483,-93.2181,44.732,484,484,b,"7501 - 150th Street, West",Apple Valley,MN,55124,(952) 432-1771,44.732,-93.2181,Burger King
878,-93.2758,44.8621,879,879,b,140 E. 78th Street,Richfield,MN,55423,(952) 861-3920,44.8621,-93.2758,Burger King
896,-93.1141,44.9559,897,897,b,333 University Avenue,St. Paul,MN,55103,(651) 221-2677,44.9559,-93.1141,Burger King
1012,-93.4989,44.971,1013,1013,b,1200 East Wayzata Boulevard,Wayzata,MN,55391,(612) 475-3300,44.971,-93.4989,Burger King
1315,-92.4632,44.0167,1316,1316,b,615 South Broadway,Rochester,MN,55904,(507) 288-8932,44.0167,-92.4632,Burger King
1392,-91.6689,44.0484,1393,1393,b,1215 Gilmore Ave,Winona,MN,55987,(507) 452-6606,44.0484,-91.6689,Burger King
1423,-94.1768,46.3622,1424,1424,b,808 West Washington,Brainerd,MN,56401,(218) 829-4290,46.3622,-94.1768,Burger King
1554,-93.3424,43.6536,1555,1555,b,2011 East Main,Albert Lea,MN,56007,(507) 373-3365,43.6536,-93.3424,Burger King
1555,-93.2343,45.1941,1556,1556,b,12309 Central Avenue,Blaine,MN,55434,(763) 757-2140,45.1941,-93.2343,Burger King
1641,-94.1437,45.5656,1642,1642,b,"222 Lincoln Avenue, S. E.",St. Cloud,MN,56304,(320) 255-1174,45.5656,-94.1437,Burger King
1708,-93.1426,44.9168,1709,1709,b,1600 West 7th Street,St. Paul,MN,55102,(651) 227-6424,44.9168,-93.1426,Burger King
1780,-92.1283,46.8003,1781,1781,b,208 E. Central Entrance,Duluth,MN,55811,(218) 722-8687,46.8003,-92.1283,Burger King
1816,-93.3092,44.8404,1817,1817,b,"9008 Penn Avenue, South",Bloomington,MN,55431,(954) 888-8000,44.8404,-93.3092,Burger King
1885,-93.2709,44.9758,1886,1886,b,"200 South 6th Streest, Pillsbury Center",Minneapolis,MN,55402-1494,(612) 332-8107,44.9758,-93.2709,Burger King
2029,-95.3808,45.8627,2030,2030,b,303 30th Avenue,Alexandria,MN,56308,(320) 762-0530,45.8627,-95.3808,Burger King
2036,-93.0804,44.8966,2037,2037,b,1650 Robert Street South,West St. Paul,MN,55118,(651) 451-0456,44.8966,-93.0804,Burger King
2273,-93.4628,45.0115,2274,2274,b,14430 28th Place North,Plymouth,MN,55447,(763) 559-2557,45.0115,-93.4628,Burger King
2286,-93.5079,44.8008,2287,2287,b,1330 East 1st Avenue,Shakopee,MN,55379,(612) 445-6277,44.8008,-93.5079,Burger King
2293,-93.4837,44.8619,2294,2294,b,16345 West 78th Street,Eden Prairie,MN,55344,(952) 934-2251,44.8619,-93.4837,Burger King
