X,Y,OBJECTID,ID,Letter,Address,City,State,Zip,Phone,Lat,Long_,Restaurant
-93.381334,44.9370512,0,0,x,8020 MN-7, St Louis Park,MN,0,0,44.9370512,-93.381334,Chick-fil-A
-93.1659059,45.0042709,0,0,x,2090 Snelling Ave N, Roseville,MN,0,0,45.0042709,-93.1659059,Chick-fil-A
-93.3107006,44.8610149,0,0,x,2500 W 79th St, Bloomington,MN,0,0,44.8610149,-93.3107006,Chick-fil-A
-93.2292533,44.9739768,0,0,x,615 Washington Ave SE, Minneapolis,MN,0,0,44.9739768,-93.2292533,Chick-fil-A
-93.4623819,45.0132669,0,0,x,3005 Harbor Ln N, Plymouth,MN,0,0,45.0132669,-93.4623819,Chick-fil-A
-92.9666579,44.9248794,0,0,x,6939 Valley Creek Rd, Woodbury,MN,0,0,44.9248794,-92.9666579,Chick-fil-A
-93.3564504,45.1339491,0,0,x,9751 Xenia Ave N, Brooklyn Park,MN,0,0,45.1339491,-93.3564504,Chick-fil-A
-93.4297126,45.0942304,0,0,x,11820 Fountains Way, Maple Grove,MN,0,0,45.0942304,-93.4297126,Chick-fil-A
-93.294093,44.7470673,0,0,x,1200 County Rd 42 W, Burnsville,MN,0,0,44.7470673,-93.294093,Chick-fil-A
-93.0187244,45.0329984,0,0,x,3045 White Bear Ave, Maplewood,MN,0,0,45.0329984,-93.0187244,Chick-fil-A
-93.1524832,44.8331243,0,0,x,3420 Promenade Ave, Eagan,MN,0,0,44.8331243,-93.1524832,Chick-fil-A
-93.2576981,45.1277373,0,0,x,595 Northtown Dr NE, Blaine,MN,0,0,45.1277373,-93.2576981,Chick-fil-A
-93.53208,44.8591608,0,0,x,445 W 79th St, Chanhassen,MN,0,0,44.8591608,-93.53208,Chick-fil-A
-93.2354014,44.9728086,0,0,x,300 Washington Ave SE, Minneapolis,MN,0,0,44.9728086,-93.2354014,Chick-fil-A
-93.0799447,44.892506,0,0,x,1770 S Robert St, West St Paul,MN,0,0,44.892506,-93.0799447,Chick-fil-A
-93.1478408,45.0580368,0,0,x,3855 Lexington Ave N, Arden Hills,MN,0,0,45.0580368,-93.1478408,Chick-fil-A
-93.3574594,45.1989606,0,0,x,3590 River Rapids Dr, Coon Rapids,MN,0,0,45.1989606,-93.3574594,Chick-fil-A
-93.2172053,44.7277288,0,0,x,7480 153rd St W, Apple Valley,MN,0,0,44.7277288,-93.2172053,Chick-fil-A
-93.2144246,44.8836239,0,0,x,4300 Glumack Dr Concourse F, St Paul,MN,0,0,44.8836239,-93.2144246,Chick-fil-A
-93.2418234,44.8564932,0,0,x,354 Central Pkwy, Bloomington,MN,0,0,44.8564932,-93.2418234,Chick-fil-A
-93.2482733,45.0577832,0,0,x,4910 Central Ave NE, Columbia Heights,MN,0,0,45.0577832,-93.2482733,Sonic Drive-In
-93.3328513,44.745869,0,0,x,4233 Egan Dr, Savage,MN,0,0,44.745869,-93.3328513,Sonic Drive-In
-93.3060546,44.8580794,0,0,x,2101 American Blvd W, Bloomington,MN,0,0,44.8580794,-93.3060546,Sonic Drive-In
-93.0176128,44.9494403,0,0,x,1960 Suburban Ave, St Paul,MN,0,0,44.9494403,-93.0176128,Sonic Drive-In
-93.5567382,45.3034684,0,0,x,229 Carson St NW, Elk River,MN,0,0,45.3034684,-93.5567382,Sonic Drive-In
-93.3226728,45.0537471,0,0,x,5444 Brooklyn Blvd, Brooklyn Center,MN,0,0,45.0537471,-93.3226728,Arby's
-93.349947,44.965776,0,0,x,1690 Park Pl Blvd, St Louis Park,MN,0,0,44.965776,-93.349947,Arby's
-93.018161,45.035373,0,0,x,3109 White Bear Ave, Maplewood,MN,0,0,45.035373,-93.018161,Arby's
-93.3670535,45.0556386,0,0,x,5629 W Broadway W, Crystal,MN,0,0,45.0556386,-93.3670535,Arby's
-93.5038687,44.9117886,0,0,x,5100 County Rd 101, Minnetonka,MN,0,0,44.9117886,-93.5038687,Arby's
-93.5535058,45.1990425,0,0,x,21595 S Diamond Lake Rd, Rogers,MN,0,0,45.1990425,-93.5535058,Arby's
-93.2697905,44.8626594,0,0,x,7744 5th Ave S, Richfield,MN,0,0,44.8626594,-93.2697905,Arby's
-93.289168,44.835821,0,0,x,9240 Lyndale Ave S, Bloomington,MN,0,0,44.835821,-93.289168,Arby's
-93.5625362,45.316894,0,0,x,19190 Freeport St NW, Elk River,MN,0,0,45.316894,-93.5625362,Arby's
-93.4103406,44.984972,0,0,x,10205 6th Ave N, Plymouth,MN,0,0,44.984972,-93.4103406,Arby's
-93.166681,44.921734,0,0,x,654 Snelling Ave S, St Paul,MN,0,0,44.921734,-93.166681,Arby's
-93.160822,44.832759,0,0,x,1279 Town Centre Dr, Eagan,MN,0,0,44.832759,-93.160822,Arby's
-93.0588327,45.0797057,0,0,x,1028 Meadowlands Dr, White Bear Lake,MN,0,0,45.0797057,-93.0588327,Arby's
-93.167575,45.004389,0,0,x,2105 Snelling Ave, Roseville,MN,0,0,45.004389,-93.167575,Arby's
-93.1767489,44.955398,0,0,x,1810 University Ave W, St Paul,MN,0,0,44.955398,-93.1767489,Arby's
-93.0810627,44.8963267,0,0,x,1657 S Robert St, West St Paul,MN,0,0,44.8963267,-93.0810627,Arby's
-93.23416,45.1577236,0,0,x,10320 Baltimore St NE, Blaine,MN,0,0,45.1577236,-93.23416,Arby's
-93.218517,44.728567,0,0,x,7525 153rd St W, Apple Valley,MN,0,0,44.728567,-93.218517,Arby's
-93.1331565,44.7312418,0,0,x,3380 150th St W, Rosemount,MN,0,0,44.7312418,-93.1331565,Arby's
-93.4629621,45.0118609,0,0,x,14420 28th Pl N, Plymouth,MN,0,0,45.0118609,-93.4629621,Arby's
-93.4549132,45.0286092,0,0,x,4000 Annapolis Ln N, Plymouth,MN,0,0,45.0286092,-93.4549132,Dairy Queen
-93.2071415,44.7881344,0,0,x,4630 Rahncliff Rd, Eagan,MN,0,0,44.7881344,-93.2071415,Dairy Queen
-93.287994,44.8660707,0,0,x,7533 Lyndale Ave S, Richfield,MN,0,0,44.8660707,-93.287994,Dairy Queen
-92.9853845,44.9661302,0,0,x,819 Century Ave N, Maplewood,MN,0,0,44.9661302,-92.9853845,Dairy Queen
-93.37947,45.0070647,0,0,x,7825 Medicine Lake Rd, Golden Valley,MN,0,0,45.0070647,-93.37947,Dairy Queen
-93.3521819,44.8632742,0,0,x,7700 Normandale Blvd, Edina,MN,0,0,44.8632742,-93.3521819,Dairy Queen
-93.1323266,44.7303024,0,0,x,15073 Canada Ave W, Rosemount,MN,0,0,44.7303024,-93.1323266,Dairy Queen
-92.9550844,44.9262103,0,0,x,7450 Currell Blvd, Woodbury,MN,0,0,44.9262103,-92.9550844,Dairy Queen
-93.251813,45.0129993,0,0,x,710 NE Lowry Ave, Minneapolis,MN,0,0,45.0129993,-93.251813,Dairy Queen
-93.2138792,44.9172238,0,0,x,4740 Minnehaha Ave, Minneapolis,MN,0,0,44.9172238,-93.2138792,Dairy Queen
-93.4847492,44.8606243,0,0,x,16340 Terrey Pine Dr, Eden Prairie,MN,0,0,44.8606243,-93.4847492,Dairy Queen
-93.3152874,44.8838469,0,0,x,2800 W 66th St, Richfield,MN,0,0,44.8838469,-93.3152874,Dairy Queen
-93.5039111,44.9150765,0,0,x,4912 County Rd 101, Minnetonka,MN,0,0,44.9150765,-93.5039111,Dairy Queen
-93.2873945,44.6951331,0,0,x,10950 175th Ct W, Lakeville,MN,0,0,44.6951331,-93.2873945,Dairy Queen
-93.3906743,45.1577662,0,0,x,11200 Aquila Dr N, Champlin,MN,0,0,45.1577662,-93.3906743,Dairy Queen
-93.0453801,44.8529311,0,0,x,6655 Cahill Ave, Inver Grove Heights,MN,0,0,44.8529311,-93.0453801,Dairy Queen
-92.9851538,45.0201217,0,0,x,2730 16th Ave E, North St Paul,MN,0,0,45.0201217,-92.9851538,Dairy Queen
-93.4555033,45.106004,0,0,x,13770 83rd Way N, Maple Grove,MN,0,0,45.106004,-93.4555033,Dairy Queen
-93.1374791,44.6442808,0,0,x,705 Willow St, Farmington,MN,0,0,44.6442808,-93.1374791,Dairy Queen
